company,model,location
dell,latitude 3420 ,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\dell_latitude_3420.pdf
dell,latitude 7350,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\dell_latitutde_7350.pdf
dell,precision 5690,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\dell_precision_5690.pdf
lenovo,thinkpad l440 ,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_thinkpad_l440.pdf
lenovo,thinkpad l540,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_thinkbook_14_IIL.pdf
lenovo,k14 gen1,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_k14.pdf
lenovo,thinkbook 14 2-in-1 gen4,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_thinkbook_14_2in1.pdf
lenovo,l14 gen1,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_thinkpad_l14.pdf
lenovo,l15 gen1,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_thinkbook_14_IIL.pdf
lenovo,v14,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_v14.pdf
lenovo,v15,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_v14.pdf
lenovo,x1 carbon gen9,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_x1_yoga.pdf
lenovo,x1 yoga gen6,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_x1_yoga.pdf
lenovo,yoga duet 7,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\lenovo_yoga_duet_7.pdf
microsoft,surface 3,C:\Users\Heeta Parmar\OneDrive - Galaxy Office Automation Pvt Ltd\Desktop\data\manuals\microsoft_surface_3.pdf
